instant,g1,g2,g3,g4,g5,l1,l2,l3,l4,l5
2016-02-05T00:00:00Z,BAJFINANCE.NS,HINDALCO.NS,CIPLA.NS,TATASTEEL.NS,HEROMOTOCO.NS,MARUTI.NS,SHREECEM.NS,NESTLEIND.NS,WIPRO.NS,RELIANCE.NS
2018-04-05T23:00:00Z,SHREECEM.NS,TITAN.NS,BRITANNIA.NS,TATASTEEL.NS,BAJFINANCE.NS,BHARTIARTL.NS,LT.NS,GRASIM.NS,WIPRO.NS,BAJAJ-AUTO.NS
2018-07-11T23:00:00Z,RELIANCE.NS,WIPRO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,HDFCLIFE.NS,BAJAJ-AUTO.NS,GRASIM.NS,TATACONSUM.NS,NESTLEIND.NS,TECHM.NS
2019-01-11T00:00:00Z,ITC.NS,ONGC.NS,HINDALCO.NS,WIPRO.NS,TECHM.NS,SHREECEM.NS,INDUSINDBK.NS,TCS.NS,LT.NS,TATASTEEL.NS
2017-03-07T00:00:00Z,BAJFINANCE.NS,ONGC.NS,TCS.NS,INDUSINDBK.NS,NESTLEIND.NS,HINDALCO.NS,TATASTEEL.NS,SHREECEM.NS,ULTRACEMCO.NS,BRITANNIA.NS
2020-05-04T23:00:00Z,ONGC.NS,RELIANCE.NS,NTPC.NS,TCS.NS,HINDALCO.NS,BAJFINANCE.NS,BRITANNIA.NS,KOTAKBANK.NS,WIPRO.NS,COALINDIA.NS
2020-08-09T23:00:00Z,CIPLA.NS,LT.NS,TECHM.NS,NTPC.NS,SHREECEM.NS,RELIANCE.NS,MARUTI.NS,BAJAJFINSV.NS,ULTRACEMCO.NS,NESTLEIND.NS
2020-02-11T00:00:00Z,NTPC.NS,MARUTI.NS,HINDALCO.NS,INDUSINDBK.NS,BAJAJ-AUTO.NS,NESTLEIND.NS,BHARTIARTL.NS,HDFCLIFE.NS,BRITANNIA.NS,SHREECEM.NS
2016-05-10T23:00:00Z,SHREECEM.NS,HINDALCO.NS,NESTLEIND.NS,KOTAKBANK.NS,MARUTI.NS,BHARTIARTL.NS,TECHM.NS,ITC.NS,ONGC.NS,TATACONSUM.NS
2019-11-06T00:00:00Z,CIPLA.NS,ICICIBANK.NS,INDUSINDBK.NS,HINDALCO.NS,KOTAKBANK.NS,TITAN.NS,BHARTIARTL.NS,ONGC.NS,MARUTI.NS,BAJFINANCE.NS
2018-10-04T23:00:00Z,TITAN.NS,TCS.NS,INDUSINDBK.NS,NESTLEIND.NS,WIPRO.NS,ONGC.NS,BAJFINANCE.NS,RELIANCE.NS,BAJAJFINSV.NS,BAJAJ-AUTO.NS
2016-12-12T00:00:00Z,ONGC.NS,NTPC.NS,TCS.NS,LT.NS,HINDALCO.NS,BAJFINANCE.NS,SHREECEM.NS,ULTRACEMCO.NS,INDUSINDBK.NS,BAJAJ-AUTO.NS
2016-08-03T23:00:00Z,TATASTEEL.NS,BHARTIARTL.NS,TATACONSUM.NS,BRITANNIA.NS,HEROMOTOCO.NS,TITAN.NS,INDUSINDBK.NS,SHREECEM.NS,COALINDIA.NS,ICICIBANK.NS
2015-02-06T00:00:00Z,BRITANNIA.NS,ITC.NS,BHARTIARTL.NS,TCS.NS,WIPRO.NS,TATASTEEL.NS,HEROMOTOCO.NS,INDUSINDBK.NS,BAJFINANCE.NS,GRASIM.NS
2019-04-04T23:00:00Z,TATASTEEL.NS,ULTRACEMCO.NS,BAJFINANCE.NS,HINDALCO.NS,CIPLA.NS,BRITANNIA.NS,HEROMOTOCO.NS,NTPC.NS,ITC.NS,MARUTI.NS
2019-07-10T23:00:00Z,HEROMOTOCO.NS,INDUSINDBK.NS,HDFCLIFE.NS,HINDALCO.NS,MARUTI.NS,TECHM.NS,ICICIBANK.NS,TITAN.NS,NESTLEIND.NS,LT.NS
2018-01-12T00:00:00Z,TATACONSUM.NS,ICICIBANK.NS,HDFCLIFE.NS,ONGC.NS,MARUTI.NS,SHREECEM.NS,GRASIM.NS,BAJAJFINSV.NS,NESTLEIND.NS,BHARTIARTL.NS
2017-09-03T23:00:00Z,COALINDIA.NS,ONGC.NS,SHREECEM.NS,WIPRO.NS,RELIANCE.NS,TATACONSUM.NS,BAJAJFINSV.NS,NESTLEIND.NS,HEROMOTOCO.NS,TECHM.NS
2016-03-08T00:00:00Z,HINDALCO.NS,SHREECEM.NS,TATACONSUM.NS,RELIANCE.NS,ITC.NS,MARUTI.NS,KOTAKBANK.NS,ICICIBANK.NS,BRITANNIA.NS,CIPLA.NS
2021-05-03T23:00:00Z,ONGC.NS,BAJFINANCE.NS,COALINDIA.NS,TCS.NS,KOTAKBANK.NS,TATACONSUM.NS,CIPLA.NS,RELIANCE.NS,HINDALCO.NS,TITAN.NS
2017-05-09T23:00:00Z,BHARTIARTL.NS,BRITANNIA.NS,TITAN.NS,NESTLEIND.NS,BAJFINANCE.NS,WIPRO.NS,ULTRACEMCO.NS,TCS.NS,ICICIBANK.NS,LT.NS
